concept,pred_count,pred_pct,avg_confidence,n_countries,most_common_parent
Deep grey dirt,10,0.3178639542275906,0.15732660368084908,2,road_dirt
Paran pines,10,0.3178639542275906,0.13851940259337425,2,Paran pines
"DR46, DR47",10,0.3178639542275906,0.08964968584477902,2,landscape_fog
Red soil,10,0.3178639542275906,0.06860121563076974,3,landscape_soil
"Ruta 7, Mairana To San Luis",10,0.3178639542275906,0.12252913564443588,4,camera_meta
Electricity marker,10,0.3178639542275906,0.1361226372420788,3,script_latvian
Hay,10,0.3178639542275906,0.13166462890803815,1,vegetation_hay
Wire Numbers,10,0.3178639542275906,0.11362707354128361,3,pole_marker
Language,10,0.3178639542275906,0.14271262735128404,1,script_bengali
Concepcin City Proper,10,0.3178639542275906,0.140212070196867,3,Concepcin City Proper
Santa Cruz Plain Roads,10,0.3178639542275906,0.18717425912618638,1,road_dirt_tropical
Schleswig-Holstein Architecture,9,0.28607755880483154,0.08454709582858616,3,building_facade
Olive Trees,9,0.28607755880483154,0.11098538173569573,3,vegetation_vineyard
Aldi,9,0.28607755880483154,0.10646446297566096,4,building_facade
Blue sticker,9,0.28607755880483154,0.0546223394986656,3,landscape_soil
Hilly + agricultural landscape,9,0.28607755880483154,0.08090408974223667,4,landscape_hills_temperate
Austria,9,0.28607755880483154,0.16432868358161715,4,phone_code
Light-Colored Stone,9,0.28607755880483154,0.08763927511043018,1,building_facade
Architecture - Brick House / Red Rooftiles,9,0.28607755880483154,0.11448878546555837,1,building_roof
Eucalyptus,9,0.28607755880483154,0.2012114715245035,1,vegetation_fruit
Hip roofs,9,0.28607755880483154,0.10992941425906287,1,buddhism
Park Prirode _umberak,9,0.28607755880483154,0.09888220619824198,3,Park Prirode _umberak
Road Markers,9,0.28607755880483154,0.14975309496124586,4,road_marker
San Luis,9,0.28607755880483154,0.21003556748231253,2,vegetation_grassland
Dense pine trees,9,0.28607755880483154,0.08428602417310078,4,vegetation_forest_temperate
Paran Pines,8,0.25429116338207247,0.09917898522689939,2,Paran Pines
"Suffix ""-beck""",8,0.25429116338207247,0.07321831723675132,4,landscape_plain_temperate
Roadlines #2,8,0.25429116338207247,0.11140538542531431,4,road_line
No hunting signs,8,0.25429116338207247,0.10413138358853757,2,chevron
Manitoba bollards,8,0.25429116338207247,0.11922623682767153,1,bollard_design
Northeast Landscape,8,0.25429116338207247,0.10052924323827028,2,landscape_hills
Phobjika valley,8,0.25429116338207247,0.07016014447435737,1,building_facade
Silver car,8,0.25429116338207247,0.08286849409341812,1,road_sign
ACT gap reflector,8,0.25429116338207247,0.10213842708617449,1,landscape_hills_temperate
KM Markers,8,0.25429116338207247,0.09603079967200756,7,road_marker
Lowcam,8,0.25429116338207247,0.09786100126802921,6,camera_meta
Holey pole,8,0.25429116338207247,0.1165619962848723,3,pole_shape
Latvia Unique Latin Letters,8,0.25429116338207247,0.0992835802026093,4,script_latvian
Landscape - Green & Golden Fields,8,0.25429116338207247,0.11764556262642145,1,landscape_fields_temperate
Northwestern Architecture,8,0.25429116338207247,0.10443330183625221,3,building_facade
East Pole ,8,0.25429116338207247,0.10135569702833891,3,landscape_sign
"Czechia, Slovakia Shared Latin Letters",8,0.25429116338207247,0.11557707958854735,2,script_latin
Southern Half,8,0.25429116338207247,0.08903218107298017,2,vegetation_forest_temperate
La Libertad 2024 Coverage,8,0.25429116338207247,0.10568898916244507,3,landscape_hills_temperate
Small Lakes,8,0.25429116338207247,0.09903086465783417,2,"Crdoba, Buenos Aires and Santiago del Estero."
German Alps,7,0.22250476795931343,0.12196566856333188,2,landscape_alpine
Hilly terrain,7,0.22250476795931343,0.08491721483213562,3,buddhism
Rangpur grass,7,0.22250476795931343,0.2078899900828089,1,landscape_fields_tropical
Catalan language - carrer,7,0.22250476795931343,0.1213542792413916,4,script_catalan
Pole,7,0.22250476795931343,0.08039976603218488,5,pole_shape
Wind turbines,7,0.22250476795931343,0.12234206391232354,1,infrastructure_wind
Regensburg Plains,7,0.22250476795931343,0.08421965848122324,4,landscape_plain_temperate
Sign Back Folded/not Folded,7,0.22250476795931343,0.11975082010030746,3,post_sign
Ruta 225 in Los Lagos,7,0.22250476795931343,0.09056405297347478,5,vegetation_forest_temperate
Kakadu National Park,7,0.22250476795931343,0.1724241886820112,1,vegetation_forest
Sikkim Fir,7,0.22250476795931343,0.07228175231388637,1,vegetation_forest_temperate
Sweden,7,0.22250476795931343,0.15451005260859216,2,phone_code
Sylt,7,0.22250476795931343,0.12510355934500694,1,road_coastal
Rolling Hills,7,0.22250476795931343,0.12255415959017617,3,landscape_hills_temperate
Weiler,7,0.22250476795931343,0.07069421399916921,4,script_latin
Australia,7,0.22250476795931343,0.2002871653863362,1,phone_code
Street name ending - tee,7,0.22250476795931343,0.07418703048356942,4,script_estonian
Landscape - Southeast Hills,7,0.22250476795931343,0.09739407471248082,2,landscape_hills_tropical
RN14,7,0.22250476795931343,0.26709647263799396,2,road_divided
Santo Domingo vibes,7,0.22250476795931343,0.12198384372251374,4,landscape_urban
Brazil,7,0.22250476795931343,0.1386679027761732,2,phone_code
San Jos White Tag,7,0.22250476795931343,0.11190103526626315,1,San Jos White Tag
WA yellow sign posts,6,0.19071837253655435,0.1490136720240116,1,post_sign
"City Roads, Cochabamba ",6,0.19071837253655435,0.05787511231998602,3,landscape_valley
Asturias snow poles,6,0.19071837253655435,0.08168569641808669,3,chevron
WA property marker,6,0.19071837253655435,0.09989983898897965,1,pole_marker
Tea,6,0.19071837253655435,0.07288371833662192,2,vegetation_tea
Curbs,6,0.19071837253655435,0.10505582578480244,1,car_meta
Alps - Alpine Architecture,6,0.19071837253655435,0.11234844165543716,3,building_facade
Mainly in Dalarna,6,0.19071837253655435,0.15850102404753366,2,road_dirt
Extremadura bollards,6,0.19071837253655435,0.15045003096262613,1,Aragn Bollards
National Trail,6,0.19071837253655435,0.09667240145305793,4,trekkers
"Denmark, Iceland, Norway Shared Latin Letters",6,0.19071837253655435,0.10058163292706013,2,building_facade
Tucumn,6,0.19071837253655435,0.2312221514681975,3,Tucumn
Mendoza,6,0.19071837253655435,0.22156585504611334,3,vegetation_vineyard
"Ruta 7 & 22, Mataral Area",6,0.19071837253655435,0.3337425986925761,3,landscape_hills_tropical
"City Roads, El Alto",6,0.19071837253655435,0.1422337032854557,1,landscape_urban
Striped Signposts,6,0.19071837253655435,0.0824982983370622,3,chevron
Landscape - Acre Landscape,6,0.19071837253655435,0.11275408541162808,2,Maranho wide insulators
Montevideo,6,0.19071837253655435,0.15399140988787016,2,landscape_urban
Panama,6,0.19071837253655435,0.09893804043531418,2,San Jos White Tag
Apurimac Gen 3 Landscape,6,0.19071837253655435,0.06656962136427562,3,landscape_hills_temperate
House Numbers,6,0.19071837253655435,0.11571246137221654,3,landscape_sign
Saskatchewan alternating insulators,6,0.19071837253655435,0.10344232060015202,1,landscape_prairie
Mato Grosso pole,6,0.19071837253655435,0.0874050452063481,1,Maranho wide insulators
Red Cap Posts,5,0.1589319771137953,0.07884136736392974,2,bollard_design
Guardrail endings,5,0.1589319771137953,0.09631828665733337,4,guardrail
Alternating pole top,5,0.1589319771137953,0.08009037896990776,2,pole_shape
Flat Fens landscape,5,0.1589319771137953,0.0941176950931549,4,landscape_flatland_temperate
Canaries Diverse Landscapes,5,0.1589319771137953,0.09486974775791168,1,landscape_volcanic
Czechia Unique Latin Letters,5,0.1589319771137953,0.08438680320978165,2,script_latin
Landscape - British Hedges,5,0.1589319771137953,0.11424088403582573,2,landscape_hills_temperate
Flat landscape,5,0.1589319771137953,0.09605994522571563,3,landscape_flatland_temperate
Southeast Regensburg flat plains,5,0.1589319771137953,0.09474012851715088,4,landscape_plain_temperate
Tall Mountains,5,0.1589319771137953,0.07239761725068092,5,landscape_hills_tropical
Antofagasta de la Sierra,5,0.1589319771137953,0.20142395198345184,2,landscape_volcanic
N Yungas Road (AKA Death Road),5,0.1589319771137953,0.14324305802583695,1,road_dirt_tropical
pole,5,0.1589319771137953,0.11659126132726669,1,pole_shape
Road to Villa de Merlo,5,0.1589319771137953,0.06453156247735023,2,vegetation_cacti
San Martin Gen 3,5,0.1589319771137953,0.06963746324181556,2,landscape_mountains_tropical
RP4,5,0.1589319771137953,0.07893562763929367,3,landscape_hills_tropical
Ontario diamonds,5,0.1589319771137953,0.08547069951891899,1,guardrail
Piura East Landscape,5,0.1589319771137953,0.060646869242191315,3,landscape_hills_temperate
Yellow traffic light poles,5,0.1589319771137953,0.14034464433789254,3,landscape_urban
Generation 3,5,0.1589319771137953,0.05645459443330765,4,camera_meta
"""Indian"" square roof tiles",5,0.1589319771137953,0.10955137014389038,1,building_roof
Green and Lush Landscape,5,0.1589319771137953,0.09626158624887467,3,Chilo Island
Bola Ocho,5,0.1589319771137953,0.1069433219730854,4,script_catalan
San Pedro de Atacama,5,0.1589319771137953,0.07415005788207055,3,landscape_desert
Pedestrian Sign,5,0.1589319771137953,0.06086872592568397,3,road_sign
North,5,0.1589319771137953,0.11413538977503776,3,landscape_savannah
Most open landscape,5,0.1589319771137953,0.11642013117671013,3,landscape_fields_temperate
Window roofs,5,0.1589319771137953,0.11019590944051742,1,buddhism
France,5,0.1589319771137953,0.1497687354683876,3,phone_code
Germany,5,0.1589319771137953,0.10532190576195717,4,phone_code
Rubber trees,5,0.1589319771137953,0.12999733462929725,3,vegetation_forest_tropical
Place name suffixes,5,0.1589319771137953,0.09135522991418839,4,script_latin
Infamous Low Rock Walls,5,0.1589319771137953,0.1085268184542656,2,landscape_rock
Arrow-shaped signs,5,0.1589319771137953,0.08856222927570342,3,road_sign
Street name ending - g.,5,0.1589319771137953,0.08115852549672127,3,script_latin
WA bollard,5,0.1589319771137953,0.11337476968765259,1,vegetation_forest
-Itz ending,5,0.1589319771137953,0.07621920183300972,3,script_latin
Alp region,5,0.1589319771137953,0.12536618262529373,3,Baden-Wrttemberg
Vegetation - Spruce,5,0.1589319771137953,0.0764006495475769,4,vegetation_forest_boreal
Black sock sign post,4,0.12714558169103624,0.07966679707169533,1,camera_meta
Malta Unique Latin Letters,4,0.12714558169103624,0.08839818555861712,2,script_latin
Apurimac Abancay Town,4,0.12714558169103624,0.05802214425057173,2,landscape_mountains_tropical
Taxis Letters,4,0.12714558169103624,0.09144319035112858,1,landscape_urban
triangle top,4,0.12714558169103624,0.11120645981281996,1,landscape_ridge_temperate
"Bulgaria, Russia, Ukraine Shared Cyrillic Letters",4,0.12714558169103624,0.11367776617407799,2,script_cyrillic
El Can,4,0.12714558169103624,0.13895849883556366,2,El Can
"Crdoba, Buenos Aires and Santiago del Estero.",4,0.12714558169103624,0.11716536991298199,1,"Crdoba, Buenos Aires and Santiago del Estero."
San Martin Landscape,4,0.12714558169103624,0.12882868386805058,2,landscape_hills_tropical
Long Black Very A-Type,4,0.12714558169103624,0.09828870184719563,1,camera_meta
Pickup car,4,0.12714558169103624,0.07650764752179384,4,car_type
Gen 4 Appearance,4,0.12714558169103624,0.06943864468485117,2,car_type
MDD 30C Offroads,4,0.12714558169103624,0.09140990022569895,3,road_dirt_tropical
Loreto Iquitos Town,4,0.12714558169103624,0.08788422681391239,3,road_urban
Lake Mburo - Vibes,4,0.12714558169103624,0.08541151974350214,1,landscape_hills_arid
Shitcam,4,0.12714558169103624,0.07127741910517216,2,camera_meta
White Car,4,0.12714558169103624,0.08083694521337748,1,car_meta
Northeast,4,0.12714558169103624,0.09659192524850368,1,landscape_hills
Prairie potholes,4,0.12714558169103624,0.13873137533664703,1,landscape_prairie
Ontario KM markers,4,0.12714558169103624,0.06665716879069805,2,road_sign
Electricity counter,4,0.12714558169103624,0.08812513016164303,2,infrastructure_industrial
"Black Label, Yellow Numbers",4,0.12714558169103624,0.0972110815346241,1,pole_marker
"Ruta 5, Potosi To Agua Castilla",4,0.12714558169103624,0.2884630598127842,1,landscape_hills_arid
Huanuco Town,4,0.12714558169103624,0.08383231423795223,3,landscape_sky
"Ruta 1, West of El Alto",4,0.12714558169103624,0.14882994443178177,1,camera_meta
"City Roads, Sucre",4,0.12714558169103624,0.11578139010816813,1,landscape_hills
"Ruta 1 & 4, La Paz to Oruro",4,0.12714558169103624,0.10612738691270351,1,road_divided
Hilly Landscape,4,0.12714558169103624,0.0904342858120799,3,landscape_hills_temperate
Kilometre Markers,4,0.12714558169103624,0.09038006700575352,4,road_sign
-ec town names,4,0.12714558169103624,0.06137590343132615,3,script_latin
Hook pole,4,0.12714558169103624,0.07280544377863407,4,chevron
WA stripy bollard,4,0.12714558169103624,0.15193393640220165,1,bollard_design
Stirling Range,4,0.12714558169103624,0.1517912968993187,1,landscape_canyon
Junin North Landscape,4,0.12714558169103624,0.11751565057784319,1,landscape_hills
Bavaria Wooden Bollards,4,0.12714558169103624,0.06700313836336136,2,Baden-Wrttemberg
Pineapple,4,0.12714558169103624,0.10005874745547771,1,script_bengali
"Suffix ""-scheid""",4,0.12714558169103624,0.06304281763732433,4,Baden-Wrttemberg
Hop,4,0.12714558169103624,0.119896799325943,3,vegetation_crops
Portugal,4,0.12714558169103624,0.06180373765528202,4,phone_code
General Architecture,4,0.12714558169103624,0.09578387811779976,3,building_facade
Timber frame houses,4,0.12714558169103624,0.1049627773463726,1,buddhism
Jute bundles,4,0.12714558169103624,0.13382761739194393,1,vegetation_fruit
Canola,4,0.12714558169103624,0.10630634613335133,1,vegetation_fruit
Southeast and Around Trondheim,4,0.12714558169103624,0.09959997609257698,2,vegetation_forest_boreal
Road Numbers,3,0.09535918626827718,0.13933520019054413,1,script_european
Cogersa bins,3,0.09535918626827718,0.11908367524544398,2,script_basque
Kalea,3,0.09535918626827718,0.09175826981663704,2,script_basque
"Faroe Islands, Iceland Shared Latin Letters",3,0.09535918626827718,0.13923919945955276,1,script_latin
Distinct valley,3,0.09535918626827718,0.06992841636141141,2,Po_ega valley
Cypress trees,3,0.09535918626827718,0.05212414264678955,1,landscape_ridge_temperate
Tropical plants,3,0.09535918626827718,0.046722410867611565,3,landscape_soil
Vegetation - Turkish Pine,3,0.09535918626827718,0.06485255683461826,2,trekkers
Vratsa mountains,3,0.09535918626827718,0.05803444484869639,1,landscape_mountains_temperate
Tallest hills,3,0.09535918626827718,0.06567248081167538,1,landscape_hills_temperate
"Croatia, Montenegro, Serbia Shared Latin Letters",3,0.09535918626827718,0.06934634720285733,2,people_seastars
Black and purple pole markings,3,0.09535918626827718,0.07767512649297714,2,car_type
General Landscape,3,0.09535918626827718,0.0338001927981774,2,vegetation_cacti
Belgium Lego Man,3,0.09535918626827718,0.07646279161175092,1,road_sign
Agriculture - Wine,3,0.09535918626827718,0.1057492991288503,2,building_roof
Reddish license plates,3,0.09535918626827718,0.09864974021911621,2,building_facade
Pineforests,3,0.09535918626827718,0.14938789109388986,1,vegetation_forest_temperate
Half-timbered with Arches,3,0.09535918626827718,0.07415089756250381,2,building_facade
Berlin Street Signs,3,0.09535918626827718,0.15032299359639487,1,road_sign
Bus Stop,3,0.09535918626827718,0.07361477985978127,2,road_sign
Sorbian,3,0.09535918626827718,0.08707541227340698,1,script_latin
"Latvia, Lithuania Shared Latin Letters",3,0.09535918626827718,0.07145307709773381,2,script_latin
Odd Bollard ,3,0.09535918626827718,0.0659443736076355,3,bollard_design
Blue and yellow chevrons,3,0.09535918626827718,0.08620379368464152,3,post_sign
Oil palm plantations,3,0.09535918626827718,0.141457532842954,1,vegetation_farm_tropical
Ecuador shitcam,3,0.09535918626827718,0.059081810216108956,2,camera_meta
RP30,3,0.09535918626827718,0.099705105026563,1,landscape_winter
Comodoro Rivadavia hills,3,0.09535918626827718,0.06253195802370708,2,landscape_hills_temperate
Turkiye Unique Latin Letters,3,0.09535918626827718,0.061707268158594765,3,script_latin
RP61 North of Taco Pozo,3,0.09535918626827718,0.2583598891894023,2,road_dirt
White Truck,3,0.09535918626827718,0.0675213374197483,1,car_meta
Central Appennini,3,0.09535918626827718,0.09421517203251521,3,landscape_mountains_temperate
Roads near Death Road,3,0.09535918626827718,0.07022253548105557,2,landscape_mountains_tropical
Street Signs,3,0.09535918626827718,0.10396186759074529,2,road_sign
Pasco Oxapampa,3,0.09535918626827718,0.09474916259447734,3,landscape_hills_tropical
Southern Provinces,3,0.09535918626827718,0.09390754873553912,1,San Jos White Tag
Coquimbo City Landmarks,3,0.09535918626827718,0.061230448385079704,3,Via del Mar Coastline
Lima Town,3,0.09535918626827718,0.13816827659805617,3,landscape_sky
Ica/Lima 2025 valleys,3,0.09535918626827718,0.12957621862490973,1,landscape_valley_arid
Black yellow stripes,3,0.09535918626827718,0.055757103487849236,3,landscape_hills_tropical
Tacna/Moquegua Gen 3 Landscapes,3,0.09535918626827718,0.12570312122503915,1,landscape_desert
La Libertad Gen 3 Landscape,3,0.09535918626827718,0.08312508588035901,2,landscape_farm
Eastern Santiago Southern Roads,3,0.09535918626827718,0.07007624457279842,1,"Crdoba, Buenos Aires and Santiago del Estero."
Laguna del Laja National Park,3,0.09535918626827718,0.06935069461663564,2,landscape_lake
Ivan__ica and Medvednica,3,0.09535918626827718,0.0872258593638738,3,Ivan__ica and Medvednica
Arequipa Coastal Valleys,3,0.09535918626827718,0.17787887652715048,1,landscape_valley_arid
Conception Pines,3,0.09535918626827718,0.10883562763532002,1,Chilo Island
Yellow guardrail reflectors,3,0.09535918626827718,0.1076220025618871,2,Aragn Bollards
Plovdiv region,3,0.09535918626827718,0.08149278908967972,1,landscape_flatland_temperate
Town signs,3,0.09535918626827718,0.07114797582228978,2,landscape_flatland_temperate
Vitosha Mountain,3,0.09535918626827718,0.0756415290137132,1,Tucumn
Long antenna with tape,3,0.09535918626827718,0.10547550519307454,1,camera_meta
Fat White Border France,3,0.09535918626827718,0.16548136621713638,2,chevron
Red Cycling Sign,3,0.09535918626827718,0.097165048122406,3,road_sign
Chaitn Area,3,0.09535918626827718,0.09004354414840539,2,Chaitn Area
Munich Street Signs,3,0.09535918626827718,0.08662464718023936,2,road_sign
Timber Frames,3,0.09535918626827718,0.11054816221197446,1,building_facade
Italian architecture,3,0.09535918626827718,0.09920069326957066,1,script_latin
Sask white dashes between lines,3,0.09535918626827718,0.09424810359875362,1,bollard_design
Quebec pole stickers,3,0.09535918626827718,0.07305865983168285,1,Qubec poles
Manitoba stop signs,3,0.09535918626827718,0.09463522334893544,1,landscape_prairie
"""Smokey"" with thin aspens",3,0.09535918626827718,0.10355751713116963,1,vegetation_forest_temperate
Grassland,3,0.09535918626827718,0.05158350616693497,2,"Crdoba, Buenos Aires and Santiago del Estero."
USV unique car,3,0.09535918626827718,0.1639508679509163,2,Chilo Island
Checkboard sign,3,0.09535918626827718,0.09071870769063632,1,Qubec bollards
Western Mountains,3,0.09535918626827718,0.047777759532133736,3,landscape_glacier
RP23,3,0.09535918626827718,0.18300167098641396,2,car_meta
Parque Nacional Los Cardones,3,0.09535918626827718,0.07668061678608258,2,vegetation_cacti
RN12,3,0.09535918626827718,0.15249587719639143,1,road_dirt
Sask stop sign white triangles.,3,0.09535918626827718,0.12331810345252354,1,landscape_prairie
Yukon River & hills,3,0.09535918626827718,0.09137871613105138,1,landscape_arctic
RP1,3,0.09535918626827718,0.36790966987609863,1,road_coastal
NSW red no stopping sign,3,0.09535918626827718,0.1364654873808225,1,road_sign
wa pole metas,3,0.09535918626827718,0.11534143487612407,1,pole_bird
Creswell South,3,0.09535918626827718,0.1568464475373427,1,landscape_flatland
Exposed rock,3,0.09535918626827718,0.10176323850949605,2,Park Prirode _umberak
Vineyards,3,0.09535918626827718,0.20676381389300028,1,vegetation_vineyard
QLD non south-east pole marking,3,0.09535918626827718,0.16276017824808756,1,pole_marker
Alice Springs Circle,3,0.09535918626827718,0.29858242472012836,2,landscape_canyon
Canary Bollard on Mainland,3,0.09535918626827718,0.04697548349698385,3,chevron
Gregory,3,0.09535918626827718,0.10630532850821812,1,car_meta
95,3,0.09535918626827718,0.12187903622786204,1,car_meta
Word for street - RUA,3,0.09535918626827718,0.12070615589618683,3,phone_code
Mari Menuco,3,0.09535918626827718,0.09762878964344661,2,landscape_soil
Car Meta - Yellow Car,3,0.09535918626827718,0.08616842702031136,2,landscape_fog
Pines,3,0.09535918626827718,0.04624921828508377,2,vegetation_forest_boreal
Landscape - Kauai,3,0.09535918626827718,0.07251507168014844,3,landscape_hills_tropical
Esprito Santo - Exposed rock,3,0.09535918626827718,0.039772203812996544,2,Esprito Santo - Exposed rock
Vegetation - Macaw Palm,3,0.09535918626827718,0.09598983203371365,2,Maranho wide insulators
Maranho wide insulators,3,0.09535918626827718,0.08996429294347763,1,Maranho wide insulators
Tocantins Grass,3,0.09535918626827718,0.08842092255751292,1,Aai Palms
Piau road,3,0.09535918626827718,0.11543108026186626,1,Piau road
Vegetation - Parana Pine,3,0.09535918626827718,0.1164122646053632,1,Paran pines
Lima Gen 3 Landscape,3,0.09535918626827718,0.05871388937036196,1,camera_meta
Iruya,3,0.09535918626827718,0.13185295214255652,2,landscape_hills_arid
Alpine Landscape,3,0.09535918626827718,0.13266936441262564,2,landscape_alpine
Poland,3,0.09535918626827718,0.13284302006165186,2,people_seastars
Alpine Architecture,3,0.09535918626827718,0.08221196879943211,2,building_facade
"Suffix ""-hofen""",3,0.09535918626827718,0.07903480778137843,3,building_roof
Lots of vineyards,3,0.09535918626827718,0.07245319585005443,3,Po_ega valley
Long Megalong,3,0.09535918626827718,0.07447815189758937,1,vegetation_forest_temperate
Caucasus mountains,3,0.09535918626827718,0.05784794191519419,2,landscape_mountains_temperate
Ladder poles,3,0.09535918626827718,0.09391005213061969,1,script_catalan
Spain,3,0.09535918626827718,0.10714181512594223,2,script_catalan
Olive Plantations,3,0.09535918626827718,0.0627146636446317,1,vegetation_greenhouse
Olive Trees East Coast,3,0.09535918626827718,0.04494169478615125,2,script_catalan
Generation 4,3,0.09535918626827718,0.05919325972596804,3,camera_meta
Sardinia Grey Rocks,2,0.06357279084551812,0.12292766943573952,1,landscape_rock
Swedish Gyatt,2,0.06357279084551812,0.16846996545791626,1,phone_code
Landscape - Coastal Big Island,2,0.06357279084551812,0.1488265097141266,2,landscape_coastline_tropical
Car meta - Pickup,2,0.06357279084551812,0.16369914263486862,1,car_type
Rocky Mountains,2,0.06357279084551812,0.1198132298886776,1,landscape_mountains_arid
Ruta 2 East & Various El Alto Plain Roads,2,0.06357279084551812,0.19885152578353882,1,landscape_grassland_temperate
Stone buildings,2,0.06357279084551812,0.1053478941321373,1,building_facade
"Ruta 1, Machacamarca To Challapata",2,0.06357279084551812,0.09320090711116791,1,landscape_desert
Zagreb street name signs,2,0.06357279084551812,0.07911785319447517,2,landscape_sign
Munich surroundings Bus Stop,2,0.06357279084551812,0.1589890718460083,2,landscape_sign
Yellow plates,2,0.06357279084551812,0.2517690062522888,1,building_roof
"Ruta 6, Sora Sora To Pocoata",2,0.06357279084551812,0.07384169101715088,2,camera_meta
Thatched roofs,2,0.06357279084551812,0.08809041231870651,1,building_roof
Green-LVR-Top,2,0.06357279084551812,0.044866036623716354,2,Paran Pines
Green Tree Marks,2,0.06357279084551812,0.07474207505583763,1,bollard_design
Stone walls,2,0.06357279084551812,0.10954436287283897,1,landscape_hills_temperate
Villa Pehuenia,2,0.06357279084551812,0.03503669053316116,2,landscape_hills_temperate
Northeast tree marking,2,0.06357279084551812,0.07603674754500389,2,bollard_design
LVR Bollard Top,2,0.06357279084551812,0.05930034630000591,2,bollard_design
Mud houses,2,0.06357279084551812,0.1478034183382988,1,building_facade
Pole 7 Digits Vertical,2,0.06357279084551812,0.10843556746840477,2,pole_marker
Political Logos Amazonas,2,0.06357279084551812,0.08095550164580345,2,landscape_hills
Cajamarca Gen 4,2,0.06357279084551812,0.05052309110760689,1,landscape_fog
Antioquia pole paint,2,0.06357279084551812,0.09322438761591911,2,landscape_hills_tropical
